date,text,publisher,oil_price,oil_open,oil_high,oil_low,oil_volume,oil_change_percent
2026-02-17,"This island of corruption is only one example. There is much more of this. Just as this was not apparent and then became exposed, there are many other things that will soon come to light.",khamenei_ir,62.33,63.3,64.14,61.87,328.73K,-1.95%
2026-02-18,EMPTY,EMPTY,65.19,62.3,65.56,62.12,115.38K,4.59%
2026-02-19,EMPTY,EMPTY,66.43,65.1,66.9,64.88,113.41K,1.90%
2026-02-20,EMPTY,EMPTY,66.39,66.67,67.05,65.94,27.42K,-0.06%
2026-02-23,EMPTY,EMPTY,66.31,65.89,67.28,65.38,270.37K,-0.12%
2026-02-24,EMPTY,EMPTY,65.63,66.31,67.15,65.55,312.12K,-1.03%
2026-02-25,EMPTY,EMPTY,65.42,66.07,66.6,65.12,306.78K,-0.32%
2026-02-26,EMPTY,EMPTY,65.21,65.65,66.71,63.6,498.54K,-0.32%
2026-02-27,EMPTY,EMPTY,67.02,65.35,67.83,64.85,437.05K,2.78%
2026-02-28,"Iran Foreign Minister holds phone call with Russian counterpart 

Following the military aggression by the United States and the Zionist regime against #Iran, Foreign Minister Seyed Abbas Araghchi held a telephone conversation this afternoon with Sergey Lavrov, Foreign Minister",IRIMFA_EN,,,,,,
2026-02-28,"Iran Requests UN Action Against Israeli and U.S. Aggression 

Seyed Abbas Araghchi, Iran’s Foreign Minister, in a letter addressed to António Guterres, Secretary-General of the #UnitedNations, and James Kariuki, President of the UN #SecurityCouncil, strongly condemned the",IRIMFA_EN,,,,,,
2026-03-01,"Condolence message by Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, on the martyrdom of Ayatollah #Khamenei, Leader of the Islamic Revolution of Iran 

بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ 

«مِّنَ الْمُؤْمِنِينَ رِجَالٌ صَدَقُوا مَا",IRIMFA_EN,,,,,,
2026-03-01,"The Supreme Leader, Ayatollah Seyyed Ali #Khamenei, lived a pious life, loved #Iran, secured Iran's independence, opposed foreign domination, and worked tirelessly for our country's resilience and fortitude.

His last phase of life—an honorable and dignified death as a martyr on",IRIMFA_EN,,,,,,
2026-03-01,"In the Name of God, the Compassionate, the Merciful

Among the faithful are men who fulfill what they have pledged to Allah: there are some among them who have fulfilled their pledge, and some of them who still wait, and they have not changed in the least (Holy Quran 33:23).",khamenei_ir,,,,,,
2026-03-02,EMPTY,EMPTY,71.23,75.0,75.33,69.2,881.33K,6.28%
2026-03-03,EMPTY,EMPTY,74.56,71.23,77.98,70.41,1.01M,4.67%
2026-03-04,EMPTY,EMPTY,74.66,74.74,77.23,73.28,617.82K,0.13%
2026-03-05,EMPTY,EMPTY,81.01,76.15,82.16,74.97,707.03K,8.51%
2026-03-06,"#Iran, #Cuba Foreign Ministers Hold Phone Talks on Regional Developments

Cuban Foreign Minister Bruno Rodríguez Parrilla held a telephone conversation on Thursday evening with Iran’s Foreign Minister Seyed Abbas Araghchi to discuss the latest regional developments and the",IRIMFA_EN,90.9,79.08,92.61,78.24,996.25K,12.21%
2026-03-06,"Foreign Ministry Spokesperson Recalls a saying of Imam Ali (peace be upon him):

“If the mountains are uprooted from their places, remain steadfast and firm. Clench your teeth, lend your skull to God, drive your feet into the ground like nails, fix your gaze on the far end of the",IRIMFA_EN,90.9,79.08,92.61,78.24,996.25K,12.21%
2026-03-06,"Iran FM talks to Azerbaijani counterpart, denies launching projectiles toward #Nakhchivan

Seyed Abbas Araghchi, Foreign Minister of the Islamic Republic of Iran, held a phone conversation with Jeyhun Bayramov, Foreign Minister of the Republic of #AzerbaijanAttack.
Iran’s Foreign",IRIMFA_EN,90.9,79.08,92.61,78.24,996.25K,12.21%
2026-03-06,"Iranian Foreign Minister Holds Phone Talks with Malaysian PM on Regional Developments

Anwar Ibrahim, Prime Minister of #Malaysia, held a telephone conversation with Seyed Abbas Araghchi, Foreign Minister of the Islamic Republic #Iran, to discuss regional developments following",IRIMFA_EN,90.9,79.08,92.61,78.24,996.25K,12.21%
2026-03-06,"Iran’s Foreign Minister Holds Phone Talks with Indian, Sri Lankan Counterparts on Regional Developments

Seyed Abbas Araghchi, Foreign Minister of the Islamic Republic of #Iran, held separate telephone conversations with Subrahmanyam Jaishankar, Foreign Minister of #India, and",IRIMFA_EN,90.9,79.08,92.61,78.24,996.25K,12.21%
2026-03-06,"The Zionist regime has made a big mistake, and its consequences will make the regime desperate, by God's grace.",khamenei_ir,90.9,79.08,92.61,78.24,996.25K,12.21%
2026-03-07,"Statement

In the Name of God, the Most Gracious, the Most Merciful 

The joint military aggression by the #ZionistRegime and the #UnitedStates of America against the Islamic Republic of Iran, which began on February 28, 2026, with the martyrdom of the Supreme Leader of the",IRIMFA_EN,,,,,,
2026-03-09,EMPTY,EMPTY,91.48,91.91,113.41,79.0,749.52K,0.64%
2026-03-10,"#Iran, #Turkey FMs discuss regional developments in phone call

Seyyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, held a telephone conversation with Hakan Fidan, Minister of Foreign Affairs of Turkey, regarding regional developments and the",IRIMFA_EN,82.1,83.0,88.49,75.64,546.03K,-10.25%
2026-03-10,"Iranian, Egyptian Foreign Ministers Discuss Regional Tensions in Phone Call

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of #Iran, and Badr Abdelatty, Minister of Foreign Affairs of #Egypt, discussed regional developments following the aggression by",IRIMFA_EN,82.1,83.0,88.49,75.64,546.03K,-10.25%
2026-03-10,"Island of oppression & corruption 

They’ve created an island for corruption. Is that a joke? Moral corruption, corruption in actions, oppression, force, coercion, interference, and clawing at whatever they can get their hands on. 

#EpsteinFiles",khamenei_ir,82.1,83.0,88.49,75.64,546.03K,-10.25%
