feature,importance
word_hezbollah,0.0018235438226277929
last3_IRIMFA_EN_count,0.001818070456337026
word_eliminated,0.001808424756770361
word_national,0.0018053252179248839
last3_oil_energy_topic_count_ratio,0.0017403596046137479
word_trump,0.001739994823880271
word_biden,0.0017050627298305864
word_time,0.0016921913993986622
word_military,0.0016817301064983282
word_states,0.0016816541424589289
last3_war_topic_count,0.0016763842338898985
idf_tweet_ratio,0.0016656208548198313
word_live,0.0016481438364943659
word_iran,0.0015999004768484605
last3_weather_natural_topic_count,0.0015757893560153185
last3_WhiteHouse_avg_sentiment,0.001565614911717528
word_international,0.0015639376216848857
word_people,0.0015471416553401068
last3_araghchi_count,0.001508791470615904
last3_min_sentiment,0.0015029674624600841
last3_tweet_change,0.001496026357351251
word_administration,0.0014803275997731546
word_regime,0.0014724182734136607
word_government,0.0014657553194866633
last3_israel_lebanon_topic_count_ratio,0.001462452255294069
araghchi_tweet_ratio,0.001447650081166676
word_issues,0.0014472792343106253
word_joint,0.0014330085537901068
last3_market_sentiment_topic_count_ratio,0.001427003463364418
word_signed,0.0014260676357566852
word_southern,0.001425303849630242
word_day,0.0014146381245099227
word_idf,0.0014043267561708525
word_december,0.0013994977146252212
word_economic,0.001394100766637331
word_relations,0.0013895307270568838
word_weapons,0.0013884374797320214
last3_aggressive_count,0.0013749303780755708
word_briefing,0.0013621322835005586
word_foreign,0.0013582189799093666
word_order,0.0013566305188095896
last3_opec_topic_count_ratio,0.0013387015748240554
last3_netanyahu_count,0.0013014198024664462
word_women,0.0012947182322138268
last3_economy_topic_count,0.0012837930846463085
word_infrastructure,0.0012821620350018709
word_com,0.0012743619054804683
word_struck,0.0012717686472135702
word_west,0.0012674426232718741
word_lavrov,0.0012639281732123012
word_maria,0.0012546184609808402
last3_araghchi_avg_sentiment,0.00124913505295996
word_just,0.001244535164941111
word_republic,0.0012432460873295294
word_january,0.0012287725199214693
word_country,0.001226193195570284
word_peace,0.0012246061644288922
word_fms,0.0012084342728014563
word_alien,0.0012081614112528605
last3_china_topic_count,0.0012031496312157766
word_press,0.0012008729160510546
word_america,0.0011935924956404797
last3_opec_topic_count,0.0011885437239215234
word_violation,0.0011821996548897506
last3_IDF_avg_sentiment,0.0011817384166682451
word_united,0.001175270052528634
word_americans,0.0011648352511885911
word_tax,0.0011428540675139968
word_held,0.0011375297140378794
word_terrorist,0.0011299291848995941
word_minnesota,0.0011271584370565852
last3_POTUS_count,0.0011235270197730478
word_make,0.0011208224559424876
word_security,0.0011204405073298323
word_ukraine,0.0011120365894845506
word_abbas,0.0011110723747651636
word_bilateral,0.0011015209552823208
word_gov,0.00109724047731216
word_minister,0.001093331208684396
word_islamic,0.0010842366823660514
word_assault,0.0010827495313504218
word_terror,0.0010825479594806914
word_vladimir,0.0010700984797187495
word_diplomatic,0.001069851910426617
word_border,0.0010623854790427513
last3_weather_natural_topic_count_ratio,0.0010595430956238186
word_area,0.0010594423214776545
last3_iran_topic_count,0.0010563150661646566
word_hamas,0.0010481426183097074
word_read,0.0010455269633219677
word_february,0.001045232836176286
word_citizens,0.0010384500316844966
word_great,0.0010376698752759337
word_state,0.0010371912536441335
word_law,0.0010322070760055608
last3_IRIMFA_EN_avg_sentiment,0.0010268396577246424
word_ministry,0.0010258776028815356
word_putin,0.0009888597581071473
word_today,0.000987766433599383
word_troops,0.0009839289225646404
word_secretary,0.0009786234622666953
word_political,0.0009726599613519848
