tweet_id,created_at,text,replies,retweets,likes
2031523105433383094,2026-03-11T00:10:26.000Z,"Iranian, Indian Foreign Ministers Discuss Regional Developments in Phone Call

Subrahmanyam Jaishankar, Minister of Foreign Affairs of India, held a phone conversation with Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, during which they",159.0,495,1.8K
2013884027002863930,2026-01-21T07:59:02.000Z,"Iran slams terrorist attack in #Afghanistan 

The Spokesperson for the Iranian Foreign Ministry, Esmaeil Baqaei, condemned a terrorist attack at a restaurant in Kabul, which resulted in the death and injury of a number of Afghan and Chinese citizens. 

The spokesperson offered",53.0,46,192
2012216816517443642,2026-01-16T17:34:08.000Z,"Full Text of Remarks by the Minister of Foreign Affairs 
@araghchi
 at the Meeting with Heads of Foreign Diplomatic Missions and Representatives of Int'l Organizations Resident in Tehran, elaborating the massive terrorist acts committed across #Iran:

""We have extensive",26.0,41,134
2018351833924661674,2026-02-02T15:52:31.000Z,"Iran’s Foreign Ministry strongly condemns Zionist regime’s attacks on Gaza 

Iranian Foreign Ministry Spokesman Esmail Baqaei strongly condemned the Zionist regime's brutal attacks against some areas in the Gaza Strip, including a police center, tents sheltering displaced",24.0,69,226
2000902304166215780,2025-12-16T12:14:18.000Z,"#Iran, #Belarus sign 3 documents to enhance cooperation, coordination on intl. legal issues 

Foreign Ministers of the Islamic Republic of Iran and the Republic of Belarus Seyed Abbas Araghchi and Maksim Ryzhenkov signed three bilateral cooperation documents at the conclusion of",2.0,6,19
2024314601878540537,2026-02-19T02:46:25.000Z,"Iranian, Saudi Foreign Ministers hold telephone conversation 

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, held a telephone conversation with Faisal bin Farhan Al Saud, Minister of Foreign Affairs of Saudi Arabia.
During the call, in",23.0,37,148
2025785200886649139,2026-02-23T04:10:03.000Z,"The Islamic Republic of #Iran extends its warm congratulations to the brotherly and friendly people and Government of #BruneiDarussalam as they celebrate 42 years of independence.
We remain committed to further enhancing bilateral ties and expanding cooperation in all fields.",13.0,16,121
2023449323556540633,2026-02-16T17:28:07.000Z,"#IAEA Director General meets with #Iran’s Foreign Minister in Geneva 

Rafael Grossi, Director General of the International Atomic Energy Agency, met on Monday morning with Iranian Foreign Minisrer Seyed Abbas Araghchi, who is in Geneva for nuclear negotiations with the United",10.0,19,67
1999432059916337214,2025-12-12T10:52:05.000Z,"Iran slams US Navy’s aggression in seizing a commercial vessel in Caribbean Sea

The spokesperson of the Foreign Ministry, Esmaeil Baqaei, condemned the US Navy’s military aggression against a commercial vessel carrying Venezuelan oil near that country’s coast, and its seizure,",8.0,12,27
2007354538005586309,2026-01-03T07:33:11.000Z,"Statement by the Foreign Ministry of the Islamic Republic of Iran on the meddling remarks of US officials regarding Iran 

The Foreign Ministry of the Islamic Republic of Iran strongly condemns the interventionist remarks by the US president and other American officials",52.0,267,822
1999142182482030861,2025-12-11T15:40:13.000Z,"Tehran condemns U.S. intensified restrictions on Iranian UN mission in New York 

In the Name of God, the Most Compassionate, the Most Merciful 

The Ministry of Foreign Affairs of the Islamic Republic of Iran condemns the intensification of restrictions imposed upon the",2.0,12,34
2027749210867610008,2026-02-28T14:14:20.000Z,"Iran Foreign Minister Holds Phone Calls with Regional Counterparts 

Following the military aggression by the United States and the Zionist regime against Iran, Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of #Iran, held telephone conversations with",61.0,364,1.4K
1998105190520504823,2025-12-08T18:59:35.000Z,"Foreign ministers of Islamic Republic of #Iran, Republic of #Azerbaijan meet in Baku 

The Foreign Minister of the Islamic Republic of Iran, Seyed Abbas Araghchi, who has traveled to Baku for talks with the government of Azerbaijan, met on Monday noon with his Azerbaijani",1.0,6,37
2019702906132279469,2026-02-06T09:21:11.000Z,"First stage of nuclear negotiations between Iran, U.S. in Muscat 

The Foreign Minister of the Islamic Republic of Iran, Seyed Abbas Araqchi, who has traveled to Muscat for nuclear negotiations and the lifting of #sanctions, met earlier on Friday with Badr al-Busaidi, the Foreign",43.0,78,503
2006081220837532073,2025-12-30T19:13:28.000Z,"FM Araghchi meets with Iran's embassy staff in Venezuela

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of ##Iran, in a video conference with Iranian Ambassador in Caracas, Ali Chegini, and the diplomats serving at Iran’s Embassy in #Venezuela,",13.0,31,158
2023446947713917025,2026-02-16T17:18:40.000Z,"Iran Condemns US Illegal, Inhumane Measures Against Cuban People 

Esmail Baghaei, spokesperson for Iran’s Foreign Ministry, strongly condemned the intensification of the economic blockade against #Cuba and the continued pressure imposed on the country by the #UnitedStates,",47.0,134,369
2027806442372182129,2026-02-28T18:01:45.000Z,"Iran Requests UN Action Against Israeli and U.S. Aggression 

Seyed Abbas Araghchi, Iran’s Foreign Minister, in a letter addressed to António Guterres, Secretary-General of the #UnitedNations, and James Kariuki, President of the UN #SecurityCouncil, strongly condemned the",42.0,211,662
2016214260628783319,2026-01-27T18:18:33.000Z,"Foreign ministry spokesman: Persian Gulf an “enduring civilizational reality” 

According to the Public Relations Department of the Ministry of Foreign Affairs, Esmaeil Baqaei, Head of the Center for Public Diplomacy and Spokesman for the Ministry, described the #PersianGulf as",15.0,28,77
2019775470825271398,2026-02-06T14:09:32.000Z,"Iran strongly condemns terror attack in Pakistan 

Iranian Foreign Ministry Spokesman Esmail Baqaei strongly condemned the terrorist attack at the Hazrat Khadijah al-Kubra Mosque in the Taralai area of Islamabad, the capital of #Pakistan, which occurred during Friday prayers and",22.0,192,1K
2007823207361810745,2026-01-04T14:35:30.000Z,"Iranian FM Araghchi holds phone conversation with Venezuelan counterpart 

The Foreign Minister of the Islamic Republic of #Iran, Seyed Abbas Araghchi, and the Minister of Foreign Affairs of the Bolivarian Republic of #Venezuela, Yván Gil Pinto, had a telephone conversation on",32.0,82,268
2032166912415973670,2026-03-12T18:48:42.000Z,"Iran condemns US-Zionist aggression on #Iraq's Al-Qaim crossing 

Esmail Baghaei, Spokesperson for the Ministry of Foreign Affairs, strongly condemned the American-Zionist military aggression against Iraq, which targeted the Al-Qaim border crossing, resulting in the martyrdom and",20.0,62,271
2029917140950614302,2026-03-06T13:48:55.000Z,"Foreign Ministry Spokesperson Recalls a saying of Imam Ali (peace be upon him):

“If the mountains are uprooted from their places, remain steadfast and firm. Clench your teeth, lend your skull to God, drive your feet into the ground like nails, fix your gaze on the far end of the",9.0,47,178
2032380642172805183,2026-03-13T08:57:59.000Z,"#Iran, #India FMs discuss fegional fallout from US-Israeli aggression 

In a telephone conversation, Iranian Foreign Minister Seyed Abbas Araghchi and his Indian counterpart, Subrahmanyam Jaishankar, discussed regional and international developments. 

Araghchi briefed the Indian",139.0,333,1.3K
2031451955696988427,2026-03-10T19:27:43.000Z,"Iranian, Egyptian Foreign Ministers Discuss Regional Tensions in Phone Call

Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of #Iran, and Badr Abdelatty, Minister of Foreign Affairs of #Egypt, discussed regional developments following the aggression by",19.0,141,425
1998477932189127013,2025-12-09T19:40:43.000Z,"FM Araghchi meets with China's deputy FM, Saudi Arabia's vice minister of foreign affairs 

Waleed Al-Khuraiji, Vice Minister of Foreign Affairs of the Kingdom of Saudi Arabia, and Miao Deyu, Vice Minister of Foreign Affairs of China, at the conclusion of the third trilateral",3.0,11,44
2000902668055638389,2025-12-16T12:15:45.000Z,"Statements of Iranian FM Araqchi at a joint press conference with his Belarus counterpart Ryzhnkov 

-I would like to thank my dear friend,  the honorable Foreign Minister of Belarus, Mr. Maxim Ryzhnkov, for inviting me and for the very warm hospitality extended to me and my",2.0,8,26
2002291148249874550,2025-12-20T08:13:05.000Z,"Iranian, UK foreign ministers hold telephone talks on bilateral, nuclear issues 

The Islamic Republic of #Iran’s Foreign Minister, Seyed Abbas Araghchi, and #UK Foreign Secretary Yvette Cooper held a telephone conversation on Friday. 

During the call, the two ministers",11.0,11,23
2006714524586610963,2026-01-01T13:10:00.000Z,"The Islamic Republic of #Iran extends its warm congratulations to the friendly nation and government of the Republic of #Cuba on the Triumph Day of the Cuban Revolution and the #NewYear2026. 
We are determined to promote bilateral relations & cooperation in all areas that the two",19.0,13,81
2001367438781522016,2025-12-17T19:02:35.000Z,"Iran, Russia FMs meet in Moscow 

Iranian Foreign Minister Seyed Abbas Araghchi, who has traveled to Moscow to strengthen #Iran-#Russia bilateral relations, on Wednesday afternoon met with his Russian counterpart Sergey Lavrov for talks over bilateral relations as well as",4.0,9,25
2014743434095915378,2026-01-23T16:54:01.000Z,"Statement in condemnation of interventionist, irresponsible resolution of European Parliament 

The Foreign Ministry of the Islamic Republic of Iran strongly condemns the resolution issued by the #Europeanparliament, which contains baseless and false claims regarding recent",64.0,180,621
2029927184941400369,2026-03-06T14:28:49.000Z,"Iran FM talks to Azerbaijani counterpart, denies launching projectiles toward #Nakhchivan

Seyed Abbas Araghchi, Foreign Minister of the Islamic Republic of Iran, held a phone conversation with Jeyhun Bayramov, Foreign Minister of the Republic of #AzerbaijanAttack.
Iran’s Foreign",10.0,102,382
2024856634200117747,2026-02-20T14:40:16.000Z,"#Iran, #Egypt Foreign Ministers hold phone call 

Badr Abdelatty, Minister of Foreign Affairs of  Egypt, held a telephone conversation with Seyed Abbas Araghchi, Minister of Foreign Affairs of the Islamic Republic of Iran, during which the two sides exchanged views on regional",6.0,17,59
2003054290106282324,2025-12-22T10:45:32.000Z,"Video message from the spokesperson of the Iranian Ministry of Foreign Affairs on the occasion of #YaldaNight (subtitled in English)

No breeze soothes a wounded heart,
No true dawn breaks until the longest night is gone.

#YaldaMubarak",12.0,11,43
