tweet_id,created_at,text,replies,retweets,likes
2020823492317544620,2026-02-09T11:34:00.000Z,"The enemy must be driven to despair. The enemy’s despair comes through unity, strength of thought and determination, and steadfastness in confronting the enemy’s temptations. These are what build national power.",622,822,4.6K
2029936701599089088,2026-03-06T15:06:38.000Z,"The Zionist regime has made a big mistake, and its consequences will make the regime desperate, by God's grace.",10K,13K,72K
2020792931435573652,2026-02-09T09:32:34.000Z,"Imam Khamenei delivered a televised message to the Iranian nation on the eve of the 22nd of Bahman, the anniversary of the victory of the Islamic Revolution, on Feb. 9, 2026.",275,444,3.4K
2020825002006954117,2026-02-09T11:40:00.000Z,"God willing, this 22nd of Bahman, like every 22nd of Bahman of past years, will further magnify the grandeur of the Iranian nation and humble the powers before the Iranian people; and, God willing, this is indeed how it will be.",514,360,2.4K
2023768178569117943,2026-02-17T14:35:08.000Z,"If that’s the case, there is no room for negotiation; but if negotiations are truly to take place, determining the outcome of the negotiations in advance is a wrong and foolish act.",373,974,7.1K
2018355479739531603,2026-02-02T16:07:00.000Z,"A defining feature of this sedition was its violence; it was like that of the Daesh [ISIS]. Who created Daesh? The current US President explicitly stated, ""We created ISIS.”",604,1.2K,7K
2023743080365527430,2026-02-17T12:55:24.000Z,"Peaceful nuclear industry is not for war; it is for running the country—for agriculture, for treatment and healthcare, and for everything that depends on energy. This is among the nation’s rights. What does it have to do with you Americans?",2.2K,4.7K,23K
2023710290102071364,2026-02-17T10:45:06.000Z,"The US President has said that for 47 years, the United States hasn't been able to eliminate the Islamic Republic. That is a good confession. I say, "" You, too, will not be able to do this.""",3.3K,4.7K,15K
2018351704698188050,2026-02-02T15:52:00.000Z,"This sedition resembled a coup attempt which was suppressed. But why call it a coup attempt? Because the goal was to destroy the centers effective in the country's governance. They attacked the police, IRGC bases, government institutions, and banks.",332,352,2.2K
2018347929782935672,2026-02-02T15:37:00.000Z,"The recent sedition wasn’t the first nor will it be the last. After all, we’re a country in friction with the interests of global aggressors. How long will this continue? Until the Iranian nation reaches a point where the enemy is left hopeless. And we will reach that point.",353,481,2.6K
2019037544927957256,2026-02-04T13:17:17.000Z,"My congratulations on this Eid of the birthday of #ImamMahdi, which is filled with hope in awaiting the Promised Mahdi. This day brings hope because it’s in stark contrast to the atmosphere of despair that imperialism seeks to create before the eyes of the world’s oppressed.",1.3K,1.4K,10K
2035790488242921700,2026-03-22T18:47:30.000Z,"If the enemy strikes us one blow, they'll receive 10. 
June 4, 2018",2.5K,5.7K,42K
2023731585040761297,2026-02-17T12:09:43.000Z,"A sign of the decline of the corrupt, oppressive US empire is its irrationality, such as interfering in our country’s internal affairs. They say, “Limit your missiles to this range.” What’s that to do with you?! Without deterrent weaponry, a country will be crushed by the enemy.",959,2.8K,13K
2018350446512136253,2026-02-02T15:47:00.000Z,"The shopkeepers did have grievances and their demands were logical and justified, but the rioters hid behind their peaceful protests. But the shopkeepers understood what was happening. As soon as they saw that these were leading to riots they separated themselves.",356,554,3.5K
2021970463015284990,2026-02-12T15:31:39.000Z,"Dear Iranian nation,
On the anniversary of the 22nd of Bahman yesterday, you achieved something truly magnificent. You’ve honored Iran. As always, you’ve stood with the Islamic Republic and increased its strength.",502,564,3.8K
2023705346523480312,2026-02-17T10:25:27.000Z,The US President keeps saying that they have the strongest military force in the world. The strongest military force in the world may at times be struck so hard that it cannot get up again.,7.8K,8K,30K
2021965668359581846,2026-02-12T15:12:36.000Z,"The televised message of the Leader of the Islamic Revolution, Imam Khamenei, following the magnificent participation of the Iranian nation in the 22nd of Bahman (11th of Feb.) rallies on the anniversary of the victory of the Islamic Revolution will be published shortly.",261,337,2.4K
2023848566603788765,2026-02-17T19:54:34.000Z,"""So should anyone aggress against you, assail him in the manner he assailed you.""
(Holy Quran, 2:194)",2.4K,3.2K,18K
